id,old_category,old_note
4510,出行/_未分类,
4514,出行/_未分类,
4527,出行/_未分类,
4541,出行/_未分类,
4546,出行/_未分类,
4551,出行/_未分类,
4556,出行/_未分类,
4557,出行/_未分类,
4558,出行/_未分类,美团
4581,出行/_未分类,
4582,出行/_未分类,
4584,出行/_未分类,车票
4585,出行/_未分类,
4589,出行/_未分类,
4595,出行/_未分类,哈啰出行
4596,出行/_未分类,哈啰出行
4617,出行/_未分类,
4635,出行/_未分类,共享单车
4658,出行/_未分类,
4662,出行/_未分类,
4707,出行/_未分类,
4719,出行/_未分类,
4720,出行/_未分类,
4721,出行/_未分类,
4770,出行/_未分类,
4771,出行/_未分类,
4787,出行/_未分类,
4881,出行/_未分类,
4882,出行/_未分类,
4901,出行/_未分类,自行车
4961,出行/_未分类,打车
4976,出行/_未分类,
4979,出行/_未分类,
4980,出行/_未分类,
4984,出行/_未分类,交通 日照西到南京
4985,出行/_未分类,
4990,出行/_未分类,
4996,出行/_未分类,
4997,出行/_未分类,打车
4999,出行/_未分类,
5002,出行/_未分类,
5006,出行/_未分类,交通费到日照
5008,出行/_未分类,
5013,出行/_未分类,
5014,出行/_未分类,
5015,出行/_未分类,
5017,出行/_未分类,
5020,出行/_未分类,
5023,出行/_未分类,
5024,出行/_未分类,
5025,出行/_未分类,
5026,出行/_未分类,
5032,出行/_未分类,
5033,出行/_未分类,
5036,出行/_未分类,美团自行车
5043,出行/_未分类,
5045,出行/_未分类,
5082,出行/_未分类,
5083,出行/_未分类,
5119,出行/_未分类,
5120,出行/_未分类,
5121,出行/_未分类,
5122,出行/_未分类,
5123,出行/_未分类,
5164,出行/_未分类,
5171,出行/_未分类,
5172,出行/_未分类,打车
5274,出行/_未分类,
5276,出行/_未分类,
5287,出行/_未分类,
5299,出行/_未分类,
5300,出行/_未分类,
5312,出行/_未分类,
5313,出行/_未分类,
5345,出行/_未分类,
5349,出行/_未分类,共享单车
5350,出行/_未分类,共享单车
5354,出行/_未分类,打车
5372,出行/_未分类,
5373,出行/_未分类,
5512,出行/_未分类,
5522,出行/_未分类,
5528,出行/_未分类,
5529,出行/_未分类,
5551,出行/_未分类,年检
5552,出行/_未分类,修车
5554,出行/_未分类,
5621,出行/_未分类,江苏省财政厅
5638,出行/_未分类,签约开通处理中
5659,出行/_未分类,
5660,出行/_未分类,回城
5661,出行/_未分类,高德打车
5664,出行/_未分类,高德打车
5674,出行/_未分类,
5678,出行/_未分类,高德云信科技
5680,出行/_未分类,高德打车
5683,出行/_未分类,高德打车
5684,出行/_未分类,
5691,出行/_未分类,
5726,出行/_未分类,
5727,出行/_未分类,
5744,出行/_未分类,
5745,出行/_未分类,273
5749,出行/_未分类,
5750,出行/_未分类,
5756,出行/_未分类,高德打车
5757,出行/_未分类,
5759,出行/_未分类,
5769,出行/_未分类,
5773,出行/_未分类,高德打车
5774,出行/_未分类,高德打车
5778,出行/_未分类,高德打车
5780,出行/_未分类,高德打车
5787,出行/_未分类,
5791,出行/_未分类,搬家
5803,出行/_未分类,
5806,出行/_未分类,
5830,出行/_未分类,
5858,出行/_未分类,
5872,出行/_未分类,
5887,出行/_未分类,
5894,出行/_未分类,
5919,出行/_未分类,
5928,出行/_未分类,
5938,出行/_未分类,
5949,出行/_未分类,
5955,出行/_未分类,
5970,出行/_未分类,南京市财政局
5977,出行/_未分类,
5987,出行/_未分类,岸鸣
6022,出行/_未分类,
6023,出行/_未分类,
6030,出行/_未分类,
6054,出行/_未分类,
6057,出行/_未分类,
6065,出行/_未分类,岸鸣
6076,出行/_未分类,
6087,出行/_未分类,
6089,出行/_未分类,高德打车
6109,出行/_未分类,岸鸣
6133,出行/_未分类,
6175,出行/_未分类,
6192,出行/_未分类,
6200,出行/_未分类,
6207,出行/_未分类,美团单车
6211,出行/_未分类,
6228,出行/_未分类,
6233,出行/_未分类,
6239,出行/_未分类,
6242,出行/_未分类,
6248,出行/_未分类,
6249,出行/_未分类,
6256,出行/_未分类,
6258,出行/_未分类,
6259,出行/_未分类,
6261,出行/_未分类,
6262,出行/_未分类,
6264,出行/_未分类,
6266,出行/_未分类,
6267,出行/_未分类,
6270,出行/_未分类,
6279,出行/_未分类,
6281,出行/_未分类,
6282,出行/_未分类,
6297,出行/_未分类,
6303,出行/_未分类,
6304,出行/_未分类,
6305,出行/_未分类,
6309,出行/_未分类,
6310,出行/_未分类,
6315,出行/_未分类,
6320,出行/_未分类,
6321,出行/_未分类,
6325,出行/_未分类,
6328,出行/_未分类,
6348,出行/_未分类,
6352,出行/_未分类,
6353,出行/_未分类,
6357,出行/_未分类,
6368,出行/_未分类,打车
6373,出行/_未分类,
6375,出行/_未分类,
6376,出行/_未分类,
6378,出行/_未分类,
6379,出行/_未分类,
6385,出行/_未分类,
6391,出行/_未分类,
6394,出行/_未分类,
6398,出行/_未分类,
6403,出行/_未分类,
6404,出行/_未分类,
6409,出行/_未分类,
6410,出行/_未分类,
6412,出行/_未分类,
6413,出行/_未分类,
6414,出行/_未分类,
6415,出行/_未分类,
6419,出行/_未分类,公交车
6420,出行/_未分类,
6421,出行/_未分类,
6422,出行/_未分类,
6424,出行/_未分类,工作
6445,出行/_未分类,
6446,出行/_未分类,
6450,出行/_未分类,
6477,出行/_未分类,打车
6550,出行/_未分类,
6571,出行/_未分类,
6616,出行/_未分类,
6617,出行/_未分类,
6618,出行/_未分类,
6619,出行/_未分类,
6620,出行/_未分类,
6623,出行/_未分类,
6624,出行/_未分类,
6625,出行/_未分类,
6631,出行/_未分类,
6637,出行/_未分类,自行车
6650,出行/_未分类,美团单车超时扣款
6654,出行/_未分类,小黄车忘锁扣款
6655,出行/_未分类,共享单车忘记关锁
6659,出行/_未分类,高德打车，实付¥11.60（原价¥11.90，建行立减金-¥0.30）
6663,出行/_未分类,美团单车-小黄车忘记关锁
6667,出行/_未分类,小黄车忘记关锁
6668,出行/_未分类,小黄车忘记关锁
6671,出行/_未分类,高德打车
6704,出行/_未分类,骑小黄车，忘了关锁
6709,出行/_未分类,高德打车，花呗支付
6716,出行/_未分类,小黄车骑行
6720,出行/_未分类,汽车年检尊享套餐 - 南京宏邦机动车
6724,出行/_未分类,交通支出
6725,出行/_未分类,
6732,出行/_未分类,小黄车超时费（分多次产生，合并记账）
6742,出行/_未分类,小黄车骑行
6751,出行/_未分类,天隆寺打车回家-13.5元
6765,出行/_未分类,小黄车交通费用
6768,出行/_未分类,美团小单车
6777,出行/_未分类,小黄车
6779,出行/_未分类,小黄车共享单车 忘记关锁
6787,出行/_未分类,小黄车
6788,出行/_未分类,小黄车（忘关锁？第 2 次？）
6799,出行/_未分类,C424 南京08:50→如皋10:57 6/17 二等座15车20A ¥80(9折) 订单ED56387858
6800,出行/_未分类,C3766 如皋13:36→南京15:51 6/18 二等座01车08A ¥88.5 订单ED60328758
6804,出行/_未分类,地铁费
6809,出行/_未分类,地铁费
6810,出行/_未分类,地铁
6811,出行/_未分类,地铁
6812,出行/_未分类,地铁票-去南京南站
6817,出行/_未分类,地铁票-回程
6827,出行/_未分类,高德打车
6833,出行/_未分类,地铁
6837,出行/_未分类,美团小黄车 月卡
6846,出行/_未分类,停车费(南京市财政局)
5676,出行/车辆相关/_未分类,汽车衣
5679,出行/车辆相关/_未分类,玻璃水
967,学习/_未分类,翻墙
1420,学习/_未分类,签约开通处理中
1506,学习/_未分类,
1599,学习/_未分类,
1622,学习/_未分类,
1685,学习/_未分类,
1759,学习/_未分类,
1890,学习/_未分类,移动硬盘用于学习
1998,学习/_未分类,
2058,学习/_未分类,键盘
2067,学习/_未分类,pad看视频
2161,学习/_未分类,
2197,学习/_未分类,
2210,学习/_未分类,培训
2326,学习/_未分类,自我学习 强大能力！
2539,学习/_未分类,
2540,学习/_未分类,翻墙
2884,学习/_未分类,
3244,学习/_未分类,迅雷
3435,学习/_未分类,
3863,学习/_未分类,拾亿亿严选
3923,学习/_未分类,
4108,学习/_未分类,【培训费】
4257,学习/_未分类,培训费
4298,学习/_未分类,张明剑2
4391,学习/_未分类,上海玛昆智能科技中心
4443,学习/_未分类,培训费
5273,学习/_未分类,
5329,学习/_未分类,deepseek
5584,学习/_未分类,身份证
5646,学习/_未分类,
5708,学习/_未分类,
5831,学习/_未分类,
6290,学习/_未分类,火山引擎 小龙虾
6439,学习/_未分类,提升自己
6819,学习/_未分类,翻墙软件VIP 3个月（到期：2026-09-21）
87,宠物/_未分类,
94,宠物/_未分类,
134,宠物/_未分类,猫零食
257,宠物/_未分类,猫粮
335,宠物/_未分类,猫粮
388,宠物/_未分类,猫薄荷
424,宠物/_未分类,
569,宠物/_未分类,猫粮
605,宠物/_未分类,猫盆
626,宠物/_未分类,猫粮和灯
709,宠物/_未分类,猫砂
732,宠物/_未分类,猫洗澡用品
748,宠物/_未分类,
751,宠物/_未分类,驱虫药
760,宠物/_未分类,猫粮
845,宠物/_未分类,猫窝
1053,宠物/_未分类,猫湿粮
1085,宠物/_未分类,猫粮
1129,宠物/_未分类,
1255,宠物/_未分类,
1262,宠物/_未分类,
1345,宠物/_未分类,
1369,宠物/_未分类,南京市江宁区乐贝宠物医院
1376,宠物/_未分类,南京市江宁区乐贝宠物医院
1380,宠物/_未分类,南京市江宁区乐贝宠物医院
1389,宠物/_未分类,
1393,宠物/_未分类,
1570,宠物/_未分类,猫粮
1592,宠物/_未分类,猫粮
